,cards,free,games,goals,name,points,position,team,value
322,0.0,True,0.0,0.0,Joseph Aidoo,0.0,Defender,Celta,"390,000"
323,0.0,False,1.0,0.0,Szymanowski,1.0,Midfielder,Leganés,"380,000"
324,2.0,True,6.0,0.0,Andrés Fernández,31.0,Goalkeeper,Villarreal,"370,000"
325,1.0,False,3.0,0.0,Kang-in Lee,4.0,Midfielder,Valencia,"360,000"
326,0.0,True,0.0,0.0,Fran Gámez,0.0,Defender,Mallorca,"350,000"
327,5.0,True,28.0,1.0,Antunes,126.0,Defender,Getafe,"340,000"
328,4.0,True,12.0,0.0,Unai Núñez,54.0,Defender,Athletic,"340,000"
329,2.0,True,21.0,2.0,Zurutuza,87.0,Midfielder,Real Sociedad,"330,000"
330,6.0,True,21.0,1.0,Jaume Costa,76.0,Defender,Villarreal,"330,000"
331,1.0,True,19.0,0.0,Sergio Álvarez Díaz,64.0,Midfielder,Eibar,"330,000"
332,0.0,True,0.0,0.0,Yan Brice,0.0,Midfielder,Granada,"330,000"
333,0.0,True,15.0,1.0,Malcom,50.0,Forward,Barcelona,"320,000"
334,0.0,True,0.0,0.0,Luis Rioja,0.0,Forward,Alavés,"320,000"
335,9.0,False,18.0,0.0,Recio,60.0,Midfielder,Leganés,"310,000"
336,9.0,True,29.0,1.0,Wakaso,104.0,Midfielder,Alavés,"310,000"
337,0.0,True,0.0,0.0,Aitor Ruibal,0.0,Forward,Leganés,"310,000"
338,0.0,True,0.0,0.0,Ivan Saponjic,0.0,Forward,Atlético,"310,000"
339,0.0,False,0.0,0.0,Aleix Febas,0.0,Midfielder,Mallorca,"300,000"
340,1.0,True,7.0,0.0,Xavier Quintilla,28.0,Defender,Villarreal,"290,000"
341,5.0,False,25.0,1.0,Arbilla,104.0,Defender,Eibar,"290,000"
342,0.0,True,0.0,0.0,Domingos Duarte,0.0,Defender,Granada,"290,000"
343,0.0,False,25.0,2.0,Pione Sisto,81.0,Midfielder,Celta,"290,000"
344,0.0,True,0.0,0.0,Neyder Lozano,0.0,Defender,Granada,"280,000"
345,4.0,True,21.0,1.0,Toño García,84.0,Defender,Levante,"270,000"
346,0.0,True,0.0,0.0,Fede Varela,0.0,Midfielder,Leganés,"270,000"
347,3.0,True,11.0,0.0,Aleix Vidal,38.0,Defender,Sevilla,"260,000"
348,9.0,False,22.0,2.0,Diakhaby,81.0,Defender,Valencia,"260,000"
349,0.0,True,0.0,0.0,Jorge Sáenz,0.0,Defender,Celta,"260,000"
350,0.0,True,0.0,0.0,Xisco Campos,0.0,Defender,Mallorca,"260,000"
351,1.0,True,7.0,0.0,Robert Ibáñez,12.0,Midfielder,Getafe,"250,000"
352,,True,,,Carlos Fernández,,Forward,Sevilla,"240,000"
353,4.0,True,16.0,0.0,Raúl Navas,68.0,Defender,Real Sociedad,"240,000"
354,8.0,True,21.0,3.0,Medrán,82.0,Midfielder,Valencia,"240,000"
355,,True,,,Rober Correa,,Defender,Eibar,"240,000"
356,0.0,True,0.0,0.0,Jack Harper,0.0,Forward,Getafe,"240,000"
357,0.0,True,0.0,0.0,Sergio Herrera,0.0,Goalkeeper,Osasuna,"240,000"
358,,False,,,Beauvue,,Forward,Celta,"220,000"
359,,True,,,Lillo,,Defender,Osasuna,"220,000"
360,1.0,False,3.0,0.0,Iturraspe,3.0,Midfielder,Espanyol,"220,000"
361,7.0,True,23.0,0.0,Bruno González,77.0,Defender,Getafe,"220,000"
362,3.0,True,24.0,3.0,Sobrino,87.0,Forward,Valencia,"220,000"
363,0.0,True,0.0,0.0,Manu Vallejo,0.0,Forward,Valencia,"220,000"
364,0.0,True,0.0,0.0,Esteban Burgos,0.0,Defender,Eibar,"220,000"
365,,True,,,Señé,,Midfielder,Mallorca,"210,000"
366,3.0,False,26.0,1.0,Vesga,83.0,Midfielder,Athletic,"210,000"
367,4.0,True,15.0,1.0,Amath,48.0,Forward,Getafe,"210,000"
368,,True,,,Sadiku,,Forward,Levante,"210,000"
369,10.0,True,22.0,0.0,Víctor Ruiz,73.0,Defender,Villarreal,"200,000"
370,0.0,True,0.0,0.0,Saúl García,0.0,Defender,Alavés,"200,000"
371,3.0,True,27.0,0.0,Moyano,81.0,Defender,Valladolid,"200,000"
372,1.0,True,11.0,0.0,Moyà,37.0,Goalkeeper,Real Sociedad,"190,000"
373,0.0,True,30.0,3.0,Kike García,96.0,Forward,Eibar,"190,000"
374,6.0,False,14.0,0.0,Mathías Olivera,42.0,Defender,Getafe,"190,000"
375,0.0,True,0.0,0.0,Owusu,0.0,Forward,Leganés,"190,000"
376,0.0,True,0.0,0.0,Álvaro Aguado,0.0,Midfielder,Valladolid,"190,000"
377,0.0,True,11.0,1.0,Bryan Gil,35.0,Forward,Sevilla,"190,000"
378,1.0,True,21.0,0.0,Oier Olazábal,81.0,Goalkeeper,Levante,"180,000"
379,0.0,True,4.0,0.0,Jaume Doménech,24.0,Goalkeeper,Valencia,"180,000"
380,5.0,True,24.0,0.0,Brasanac,72.0,Midfielder,Osasuna,"180,000"
381,2.0,True,5.0,1.0,Vallejo,14.0,Defender,Real Madrid,"180,000"
382,12.0,True,21.0,2.0,Cabaco,60.0,Defender,Levante,"180,000"
383,5.0,True,30.0,2.0,Antoñito,92.0,Defender,Valladolid,"180,000"
384,0.0,True,1.0,0.0,Chris Ramos,2.0,Forward,Valladolid,"180,000"
385,3.0,True,18.0,0.0,Rodrigo Tarín,78.0,Defender,Leganés,"180,000"
386,0.0,True,0.0,0.0,Sergio Peña,0.0,Midfielder,Granada,"180,000"
387,2.0,True,7.0,0.0,Unai Simón,27.0,Goalkeeper,Athletic,"180,000"
388,1.0,True,6.0,0.0,Emerson,14.0,Defender,Betis,"180,000"
389,2.0,True,9.0,1.0,Facundo Ferreyra,23.0,Forward,Espanyol,"180,000"
390,0.0,True,0.0,0.0,Roberto Olabe,0.0,Midfielder,Eibar,"180,000"
391,7.0,True,33.0,0.0,San José,82.0,Midfielder,Athletic,"170,000"
392,2.0,False,22.0,2.0,Guidetti,57.0,Forward,Alavés,"170,000"
393,,True,,,Akram Afif,,Forward,Villarreal,"170,000"
394,4.0,True,28.0,0.0,Oliveira,87.0,Defender,Eibar,"170,000"
395,4.0,False,24.0,2.0,De Blasis,76.0,Forward,Eibar,"170,000"
396,0.0,True,5.0,0.0,Lunin,23.0,Goalkeeper,Real Madrid,"170,000"
404,10.0,False,23.0,0.0,Cáseres,70.0,Midfielder,Villarreal,"170,000"
405,0.0,True,0.0,0.0,Pau Torres,0.0,Defender,Villarreal,"170,000"
406,9.0,True,24.0,0.0,Víctor Sánchez,68.0,Midfielder,Espanyol,"160,000"
407,,True,,,Nano Mesa,,Forward,Eibar,"160,000"
408,,True,,,Marcos de Sousa,,Forward,Valladolid,"160,000"
409,0.0,True,0.0,0.0,Aleksandar Sedlar,0.0,Defender,Mallorca,"160,000"
410,4.0,True,14.0,0.0,Barragán,38.0,Defender,Betis,"150,000"
411,0.0,True,0.0,0.0,Aarón Escandell,0.0,Goalkeeper,Granada,"150,000"
412,,True,,,Barbosa,,Goalkeeper,Villarreal,"150,000"
413,,True,,,Bruno,,Midfielder,Villarreal,"150,000"
414,0.0,True,3.0,0.0,Yoel,0.0,Goalkeeper,Eibar,"150,000"
415,,True,,,Lucas Silva,,Midfielder,Real Madrid,"150,000"
416,1.0,True,6.0,0.0,Hervías,19.0,Midfielder,Valladolid,"150,000"
417,4.0,False,15.0,0.0,David Costas,57.0,Defender,Celta,"150,000"
418,2.0,True,15.0,0.0,Raúl García Carnero,53.0,Defender,Getafe,"150,000"
419,0.0,True,20.0,1.0,Piatti,66.0,Midfielder,Espanyol,"150,000"
420,0.0,True,11.0,1.0,Kodro,20.0,Forward,Athletic,"150,000"
421,0.0,True,11.0,0.0,Balenziaga,26.0,Defender,Athletic,"150,000"
422,0.0,True,3.0,0.0,Markel Bergara,5.0,Midfielder,Getafe,"150,000"
423,1.0,True,13.0,0.0,Sergio Álvarez,44.0,Goalkeeper,Celta,"150,000"
424,1.0,True,20.0,0.0,Jozabed,47.0,Midfielder,Celta,"150,000"
425,,True,,,Iván López,,Defender,Levante,"150,000"
426,1.0,True,7.0,0.0,Unai López,15.0,Midfielder,Athletic,"150,000"
427,0.0,True,0.0,0.0,Luismi,0.0,Midfielder,Valladolid,"150,000"
428,2.0,True,6.0,0.0,Adrián Marín,13.0,Defender,Alavés,"150,000"
429,0.0,True,1.0,0.0,Adán,6.0,Goalkeeper,Atlético,"150,000"
430,2.0,True,13.0,0.0,Eraso,26.0,Midfielder,Leganés,"150,000"
431,1.0,True,16.0,1.0,Burgui,47.0,Midfielder,Alavés,"150,000"
432,4.0,True,16.0,0.0,Luna,51.0,Defender,Levante,"150,000"
433,1.0,True,10.0,0.0,Bigas,35.0,Defender,Eibar,"150,000"
434,,True,,,Salva Ruiz,,Defender,Valencia,"150,000"
435,6.0,True,21.0,0.0,Juncà,62.0,Defender,Celta,"150,000"
436,0.0,True,14.0,0.0,Riesgo,41.0,Goalkeeper,Eibar,"150,000"
437,0.0,True,12.0,0.0,Sabin Merino,25.0,Forward,Leganés,"150,000"
438,1.0,True,4.0,0.0,Lekue,11.0,Defender,Athletic,"150,000"
439,6.0,True,16.0,1.0,Gumbau,53.0,Midfielder,Leganés,"150,000"
440,0.0,True,1.0,0.0,Jordi Calavera,0.0,Defender,Eibar,"150,000"
441,8.0,True,19.0,0.0,Roncaglia,55.0,Defender,Celta,"150,000"
442,1.0,True,2.0,0.0,Daniel Torres,2.0,Midfielder,Alavés,"150,000"
443,,True,,,Otegui,,Midfielder,Osasuna,"150,000"
444,0.0,True,0.0,0.0,Josua Mejías,0.0,Defender,Leganés,"150,000"
445,,True,,,Rafa Navarro,,Defender,Alavés,"150,000"
446,0.0,True,0.0,0.0,Yáñez,0.0,Goalkeeper,Getafe,"150,000"
447,0.0,True,11.0,0.0,Hugo Duro,33.0,Forward,Getafe,"150,000"
448,,True,,,Villalibre,,Forward,Athletic,"150,000"
449,1.0,True,7.0,0.0,Kevin Rodrigues,22.0,Defender,Real Sociedad,"150,000"
450,1.0,True,5.0,0.0,Rodrigo Ely,13.0,Defender,Alavés,"150,000"
451,2.0,True,4.0,0.0,Juan Soriano,18.0,Goalkeeper,Leganés,"150,000"
452,3.0,True,4.0,0.0,Iván Alejo,-2.0,Midfielder,Getafe,"150,000"
453,7.0,True,19.0,2.0,Chema,71.0,Defender,Levante,"150,000"
454,0.0,True,0.0,0.0,Postigo,0.0,Defender,Levante,"150,000"
455,0.0,True,0.0,0.0,Saveljich,0.0,Defender,Levante,"150,000"
456,,True,,,Demirovic,,Forward,Alavés,"150,000"
457,0.0,True,0.0,0.0,José Carlos Lazo,0.0,Forward,Getafe,"150,000"
