,cards,free,games,goals,name,points,position,team,value
70,0.0,True,0.0,0.0,Ferland Mendy,0.0,Defender,Real Madrid,"3,310,000"
71,6.0,True,23.0,2.0,Marcelo,79.0,Defender,Real Madrid,"3,280,000"
72,12.0,True,33.0,0.0,Iñigo Martínez,133.0,Defender,Athletic,"3,280,000"
73,9.0,True,23.0,1.0,Lenglet,115.0,Defender,Barcelona,"3,280,000"
74,6.0,True,31.0,1.0,Cucurella,140.0,Midfielder,Getafe,"3,270,000"
75,13.0,True,34.0,3.0,Alcaraz,176.0,Midfielder,Valladolid,"3,260,000"
76,3.0,True,32.0,0.0,Melendo,150.0,Midfielder,Espanyol,"3,250,000"
77,5.0,True,31.0,6.0,Brais Méndez,154.0,Midfielder,Celta,"3,250,000"
78,3.0,False,29.0,0.0,Sergi Roberto,123.0,Defender,Barcelona,"3,240,000"
79,1.0,False,16.0,3.0,Wu Lei,76.0,Forward,Espanyol,"3,240,000"
80,0.0,True,2.0,0.0,Denis Suárez,6.0,Midfielder,Celta,"3,230,000"
81,4.0,True,37.0,8.0,Ángel Rodríguez,172.0,Forward,Getafe,"3,230,000"
82,7.0,True,24.0,3.0,Junior Firpo,118.0,Defender,Betis,"3,230,000"
83,9.0,True,35.0,1.0,Cote,179.0,Defender,Eibar,"3,220,000"
84,3.0,True,30.0,1.0,Asensio,117.0,Forward,Real Madrid,"3,180,000"
85,,True,,,Lucas Pérez,,Forward,Alavés,"3,170,000"
86,0.0,True,0.0,0.0,Dabbur,0.0,Forward,Sevilla,"3,170,000"
87,4.0,True,35.0,7.0,Sergi Enrich,172.0,Forward,Eibar,"3,160,000"
88,1.0,False,33.0,6.0,Gameiro,136.0,Forward,Valencia,"3,150,000"
89,11.0,False,35.0,1.0,Hugo Mallo,154.0,Defender,Celta,"3,140,000"
90,14.0,True,34.0,0.0,Djené,145.0,Defender,Getafe,"3,130,000"
91,7.0,True,31.0,9.0,En-Nesyri,161.0,Forward,Leganés,"3,120,000"
92,3.0,True,27.0,3.0,Isco,100.0,Midfielder,Real Madrid,"3,110,000"
93,7.0,True,29.0,3.0,Casemiro,136.0,Midfielder,Real Madrid,"3,110,000"
94,6.0,True,36.0,3.0,Bardhi,150.0,Midfielder,Levante,"3,110,000"
95,1.0,True,19.0,1.0,Kondogbia,93.0,Midfielder,Valencia,"3,110,000"
96,2.0,False,27.0,0.0,Arthur,107.0,Midfielder,Barcelona,"3,100,000"
97,0.0,False,0.0,0.0,Lucas Ocampos,0.0,Forward,Sevilla,"3,100,000"
98,1.0,False,33.0,0.0,Vaclík,128.0,Goalkeeper,Sevilla,"3,090,000"
99,2.0,True,34.0,5.0,Coutinho,164.0,Midfielder,Barcelona,"3,080,000"
100,7.0,True,33.0,3.0,Vidal,174.0,Midfielder,Barcelona,"3,070,000"
101,7.0,True,36.0,1.0,Calero,166.0,Defender,Valladolid,"3,060,000"
102,2.0,True,23.0,6.0,Munir,104.0,Forward,Sevilla,"3,030,000"
103,10.0,True,29.0,3.0,Mikel Merino,129.0,Midfielder,Real Sociedad,"3,030,000"
104,3.0,True,33.0,1.0,Bartra,130.0,Defender,Betis,"3,020,000"
105,4.0,True,24.0,2.0,Garay,124.0,Defender,Valencia,"3,010,000"
106,5.0,True,34.0,1.0,Siovas,158.0,Defender,Leganés,"3,010,000"
107,4.0,True,31.0,3.0,Lemar,118.0,Midfielder,Atlético,"3,010,000"
108,0.0,True,0.0,0.0,Diego López,0.0,Goalkeeper,Espanyol,"2,990,000"
109,13.0,True,27.0,4.0,Rochina,140.0,Midfielder,Levante,"2,980,000"
