;defender_points;defender_values;defenders;forward_points;forward_values;forwards;goalkeeper_points;goalkeeper_values;goalkeepers;midfielder_points;midfielder_values;midfielders;total_points;total_value
0;[169.0, 166.0, 112.0, 95.0];[4540000, 2240000, 1300000, 850000];['Gayà', 'Nacho Martínez', 'Zaldua', 'De Marcos'];[428.0, 246.0, 87.0];[22790000, 8320000, 220000];['Messi', 'Ben Yedder', 'Sobrino'];[70.0];[1260000];['Aitor Fernández'];[215.0, 173.0, 164.0, 125.0, 82.0, 65.0];[6860000, 3570000, 3080000, 1570000, 240000, 160000];['Cazorla', 'Marc Roca', 'Coutinho', 'Tomás Pina', 'Medrán', 'Hernán Pérez'];2197.0;57000000
1;[127.0, 170.0, 141.0, 82.0];[4020000, 3330000, 1450000, 720000];['Carvajal', 'Laguardia', 'Araujo', 'Capa'];[244.0, 210.0, 179.0];[11150000, 8310000, 4670000];['Griezmann', 'Oyarzabal', 'Ezequiel Ávila'];[196.0];[6480000];['Oblak'];[201.0, 173.0, 140.0, 93.0, 109.0, 149.0];[4620000, 3570000, 3250000, 3050000, 1130000, 380000];['Jordan', 'Marc Roca', 'Cucurella', 'Kondogbia', 'Toni Villa', 'Moi Gómez'];2214.0;56130000
2;[200.0, 178.0, 130.0, 133.0];[6880000, 5620000, 2800000, 1840000];['Jordi Alba', 'Hermoso', 'Bartra', 'Funes Mori'];[244.0, 209.0, 157.0];[11150000, 7540000, 3440000];['Griezmann', 'Williams', 'Gerard Moreno'];[106.0];[2220000];['Dmitrovic'];[162.0, 171.0, 127.0, 176.0, 75.0, 119.0];[4120000, 3780000, 3430000, 3210000, 1130000, 610000];['Muniain', 'Darder', 'Carlos Soler', 'Alcaraz', 'Melero', 'Manu García'];2187.0;57770000
3;[170.0, 122.0, 179.0, 143.0];[3330000, 3240000, 3200000, 1990000];['Laguardia', 'Varane', 'Cote', 'Miramón'];[244.0, 246.0, 188.0];[11150000, 8320000, 7850000];['Griezmann', 'Ben Yedder', 'Rodrigo'];[173.0];[3610000];['Pacheco'];[184.0, 154.0, 164.0, 118.0, 83.0, 82.0];[6330000, 3420000, 3080000, 3000000, 210000, 170000];['Lo Celso', 'Saúl', 'Coutinho', 'Lemar', 'Vesga', 'San José'];2250.0;58900000
4;[158.0, 148.0, 136.0, 67.0];[2980000, 2240000, 1670000, 460000];['Siovas', 'Yuri', 'Kiko Olivas', 'Nacho'];[428.0, 185.0, 114.0];[22790000, 2500000, 1010000];['Messi', 'Charles', 'Correa'];[196.0];[6480000];['Oblak'];[173.0, 164.0, 129.0, 137.0, 125.0, 80.0];[3570000, 3080000, 3020000, 2670000, 1570000, 1270000];['Marc Roca', 'Coutinho', 'Mikel Merino', 'Franco Vázquez', 'Tomás Pina', 'Trigueros'];2240.0;55310000
5;[170.0, 158.0, 114.0, 93.0];[3330000, 2340000, 750000, 450000];['Laguardia', 'Mandi', 'Rubén Duarte', 'David López'];[428.0, 244.0, 169.0];[22790000, 6560000, 3520000];['Messi', 'Jorge Molina', 'Ekambi'];[173.0];[3610000];['Pacheco'];[201.0, 138.0, 150.0, 175.0, 148.0, 82.0];[4620000, 3590000, 3230000, 2590000, 2320000, 240000];['Jordan', 'Kroos', 'Melendo', 'Joaquín', 'Óscar Rodríguez', 'Medrán'];2443.0;59940000
6;[200.0, 174.0, 94.0, 113.0];[6880000, 2440000, 1800000, 920000];['Jordi Alba', 'Rubén Peña', 'Diego Llorente', 'Jason'];[262.0, 244.0, 165.0];[11740000, 6560000, 5000000];['Luis Suárez', 'Jorge Molina', 'Willian José'];[128.0];[3030000];['Vaclík'];[163.0, 201.0, 149.0, 127.0, 108.0, 101.0];[5930000, 4620000, 3440000, 1460000, 1300000, 580000];['Modric', 'Jordan', 'Busquets', 'Rubén Pérez', 'Lobotka', 'Portillo'];2229.0;55700000
7;[154.0, 143.0, 112.0, 78.0];[3130000, 1990000, 1300000, 180000];['Hugo Mallo', 'Miramón', 'Zaldua', 'Rodrigo Tarín'];[428.0, 244.0, 172.0];[22790000, 11150000, 3110000];['Messi', 'Griezmann', 'Sergi Enrich'];[117.0];[1990000];['Rulli'];[140.0, 152.0, 175.0, 138.0, 149.0, 87.0];[2880000, 2650000, 2590000, 2130000, 380000, 330000];['Rochina', 'Thomas', 'Joaquín', 'Arambarri', 'Moi Gómez', 'Zurutuza'];2289.0;56600000
8;[178.0, 153.0, 158.0, 150.0];[5620000, 2690000, 2340000, 1890000];['Hermoso', 'Cabrera', 'Mandi', 'Jonathan Silva'];[209.0, 126.0, 140.0];[6440000, 1840000, 1190000];['Jaime Mata', 'Bale', 'Óscar Plano'];[173.0];[3610000];['Pacheco'];[184.0, 166.0, 201.0, 117.0, 175.0, 104.0];[6330000, 4720000, 4620000, 2810000, 2590000, 300000];['Lo Celso', 'Koke', 'Jordan', 'Banega', 'Joaquín', 'Wakaso'];2234.0;46990000
9;[158.0, 133.0, 93.0, 73.0];[2340000, 1480000, 450000, 200000];['Mandi', 'Maripán', 'David López', 'Víctor Ruiz'];[428.0, 246.0, 165.0];[22790000, 8320000, 5000000];['Messi', 'Ben Yedder', 'Willian José'];[94.0];[1290000];['Herrerín'];[201.0, 171.0, 150.0, 125.0, 119.0, 109.0];[4620000, 3780000, 3230000, 1570000, 1140000, 750000];['Jordan', 'Darder', 'Melendo', 'Tomás Pina', 'Zubeldia', 'Cheryshev'];2265.0;56960000
10;[154.0, 158.0, 108.0, 87.0];[3130000, 2980000, 790000, 390000];['Hugo Mallo', 'Siovas', 'Bustinza', 'Ramis'];[428.0, 179.0, 76.0];[22790000, 4670000, 170000];['Messi', 'Ezequiel Ávila', 'De Blasis'];[173.0];[3610000];['Pacheco'];[214.0, 174.0, 129.0, 133.0, 129.0, 93.0];[6630000, 3360000, 3020000, 1590000, 1110000, 410000];['Canales', 'Vidal', 'Mikel Merino', 'Granero', 'Yokuslu', 'Fran Beltrán'];2235.0;54650000
11;[122.0, 131.0, 136.0, 99.0];[3240000, 1940000, 1670000, 630000];['Varane', 'Pedraza', 'Kiko Olivas', 'Sidnei'];[239.0, 195.0, 185.0];[9660000, 6390000, 2500000];['Borja Iglesias', 'Maxi Gómez', 'Charles'];[196.0];[6480000];['Oblak'];[214.0, 178.0, 140.0, 176.0, 123.0, 119.0];[6630000, 4790000, 3250000, 3210000, 1940000, 610000];['Canales', 'Raúl García', 'Cucurella', 'Alcaraz', 'Coquelin', 'Manu García'];2253.0;52940000
12;[193.0, 153.0, 150.0, 88.0];[6390000, 2690000, 1890000, 770000];['Jesús Navas', 'Cabrera', 'Jonathan Silva', 'Feddal'];[428.0, 179.0, 99.0];[22790000, 4670000, 1180000];['Messi', 'Ezequiel Ávila', 'Mayoral'];[150.0];[2810000];['Masip'];[215.0, 150.0, 138.0, 108.0, 80.0, 101.0];[6860000, 3230000, 2130000, 1300000, 1270000, 580000];['Cazorla', 'Melendo', 'Arambarri', 'Lobotka', 'Trigueros', 'Portillo'];2232.0;58560000
13;[118.0, 153.0, 174.0, 119.0];[3150000, 2690000, 2440000, 900000];['Junior Firpo', 'Cabrera', 'Rubén Peña', 'Sergi Gómez'];[263.0, 210.0, 244.0];[10710000, 8310000, 6560000];['Benzema', 'Oyarzabal', 'Jorge Molina'];[178.0];[3580000];['David Soria'];[174.0, 108.0, 148.0, 123.0, 119.0, 98.0];[3360000, 3340000, 2320000, 1940000, 1140000, 1130000];['Vidal', 'Illarramendi', 'Óscar Rodríguez', 'Coquelin', 'Zubeldia', 'Ceballos'];2229.0;51570000
14;[152.0, 136.0, 93.0, 92.0];[2550000, 1670000, 450000, 180000];['Damián Suárez', 'Kiko Olivas', 'David López', 'Antoñito'];[428.0, 262.0, 155.0];[22790000, 11740000, 1890000];['Messi', 'Luis Suárez', 'Roger'];[160.0];[2980000];['Diego López'];[174.0, 150.0, 175.0, 127.0, 96.0, 93.0];[3360000, 3090000, 2590000, 1460000, 620000, 410000];['Vidal', 'Bardhi', 'Joaquín', 'Rubén Pérez', 'Beñat', 'Fran Beltrán'];2293.0;55780000
15;[133.0, 179.0, 141.0, 84.0];[3220000, 3200000, 1450000, 270000];['Iñigo Martínez', 'Cote', 'Araujo', 'Toño García'];[262.0, 244.0, 118.0];[11740000, 6560000, 1500000];['Luis Suárez', 'Jorge Molina', 'Bacca'];[160.0];[2980000];['Diego López'];[255.0, 221.0, 194.0, 72.0, 118.0, 93.0];[11420000, 9560000, 4200000, 1070000, 660000, 410000];['Parejo', 'Morales', 'Campaña', 'Inui', 'Diop', 'Fran Beltrán'];2274.0;58240000
16;[134.0, 130.0, 174.0, 114.0];[2870000, 2800000, 2440000, 750000];['Gabriel Paulista', 'Bartra', 'Rubén Peña', 'Rubén Duarte'];[244.0, 179.0, 155.0];[6560000, 3990000, 1890000];['Jorge Molina', 'Dembélé', 'Roger'];[160.0];[2980000];['Diego López'];[255.0, 221.0, 215.0, 150.0, 137.0, 56.0];[11420000, 9560000, 6860000, 3230000, 2670000, 150000];['Parejo', 'Morales', 'Cazorla', 'Melendo', 'Franco Vázquez', 'Anuar'];2324.0;58170000
17;[127.0, 148.0, 67.0, 106.0];[4020000, 2240000, 460000, 390000];['Carvajal', 'Yuri', 'Nacho', 'Dídac Vilà'];[428.0, 210.0, 118.0];[22790000, 8310000, 1500000];['Messi', 'Oyarzabal', 'Bacca'];[93.0];[1290000];['Rubén Blanco'];[221.0, 173.0, 175.0, 127.0, 109.0, 82.0];[9560000, 3570000, 2590000, 1460000, 1130000, 170000];['Morales', 'Marc Roca', 'Joaquín', 'Rubén Pérez', 'Toni Villa', 'San José'];2184.0;59480000
18;[178.0, 166.0, 126.0, 73.0];[5620000, 2240000, 370000, 200000];['Hermoso', 'Nacho Martínez', 'Antunes', 'Víctor Ruiz'];[428.0, 195.0, 172.0];[22790000, 6390000, 3110000];['Messi', 'Maxi Gómez', 'Sergi Enrich'];[150.0];[2810000];['Masip'];[178.0, 162.0, 123.0, 133.0, 101.0, 81.0];[4790000, 4120000, 1940000, 1590000, 580000, 290000];['Raúl García', 'Muniain', 'Coquelin', 'Granero', 'Portillo', 'Pione Sisto'];2266.0;56840000
19;[166.0, 153.0, 125.0, 93.0];[3040000, 2690000, 1190000, 450000];['Calero', 'Cabrera', 'Carriço', 'David López'];[428.0, 172.0, 185.0];[22790000, 3110000, 2500000];['Messi', 'Sergi Enrich', 'Charles'];[117.0];[1990000];['Rulli'];[127.0, 150.0, 156.0, 152.0, 113.0, 129.0];[3430000, 3090000, 2790000, 2650000, 1270000, 1110000];['Carlos Soler', 'Bardhi', 'Tello', 'Thomas', 'Guardado', 'Yokuslu'];2266.0;52100000
20;[193.0, 141.0, 89.0, 126.0];[6390000, 1450000, 730000, 370000];['Jesús Navas', 'Araujo', 'Piccini', 'Antunes'];[246.0, 209.0, 118.0];[14610000, 6440000, 1500000];['Iago Aspas', 'Jaime Mata', 'Bacca'];[178.0];[3580000];['David Soria'];[255.0, 138.0, 174.0, 150.0, 109.0, 119.0];[11420000, 3590000, 3360000, 3230000, 750000, 610000];['Parejo', 'Kroos', 'Vidal', 'Melendo', 'Cheryshev', 'Manu García'];2245.0;58030000
21;[135.0, 153.0, 117.0, 122.0];[2900000, 2690000, 1550000, 1100000];['Wass', 'Cabrera', 'Aritz Elustondo', 'Ximo Navarro'];[428.0, 246.0, 136.0];[22790000, 8320000, 3840000];['Messi', 'Ben Yedder', 'Santi Mina'];[117.0];[1990000];['Rulli'];[155.0, 125.0, 84.0, 131.0, 151.0, 87.0];[2790000, 2240000, 1850000, 1850000, 1790000, 330000];['Maksimovic', 'William Carvalho', 'Iborra', 'Ibai Gómez', 'Michel Herrero', 'Zurutuza'];2187.0;56030000
22;[154.0, 145.0, 174.0, 150.0];[3130000, 3070000, 2440000, 1890000];['Hugo Mallo', 'Djené', 'Rubén Peña', 'Jonathan Silva'];[428.0, 263.0, 155.0];[22790000, 10710000, 1890000];['Messi', 'Benzema', 'Roger'];[106.0];[2220000];['Dmitrovic'];[173.0, 140.0, 125.0, 98.0, 149.0, 82.0];[3570000, 3250000, 2240000, 1130000, 380000, 240000];['Marc Roca', 'Cucurella', 'William Carvalho', 'Ceballos', 'Moi Gómez', 'Medrán'];2342.0;58950000
23;[79.0, 179.0, 141.0, 126.0];[3250000, 3200000, 1450000, 370000];['Marcelo', 'Cote', 'Araujo', 'Antunes'];[428.0, 179.0, 82.0];[22790000, 3990000, 1560000];['Messi', 'Dembélé', 'Sergi Guardiola'];[196.0];[6480000];['Oblak'];[163.0, 164.0, 155.0, 138.0, 104.0, 100.0];[5930000, 3080000, 2790000, 2130000, 760000, 690000];['Modric', 'Coutinho', 'Maksimovic', 'Arambarri', 'Rubén Pardo', 'Roque Mesa'];2234.0;58470000
24;[170.0, 179.0, 152.0, 131.0];[3330000, 3200000, 2550000, 1940000];['Laguardia', 'Cote', 'Damián Suárez', 'Pedraza'];[246.0, 209.0, 87.0];[8320000, 6440000, 220000];['Ben Yedder', 'Jaime Mata', 'Sobrino'];[167.0];[4720000];['Ter Stegen'];[255.0, 154.0, 156.0, 100.0, 119.0, 82.0];[11420000, 3170000, 2790000, 690000, 610000, 240000];['Parejo', 'Brais Méndez', 'Tello', 'Roque Mesa', 'Manu García', 'Medrán'];2207.0;49640000
25;[179.0, 117.0, 85.0, 73.0];[3200000, 1550000, 480000, 200000];['Cote', 'Aritz Elustondo', 'Javi López', 'Víctor Ruiz'];[263.0, 209.0, 244.0];[10710000, 7540000, 6560000];['Benzema', 'Williams', 'Jorge Molina'];[173.0];[3610000];['Pacheco'];[184.0, 163.0, 166.0, 136.0, 140.0, 175.0];[6330000, 5930000, 4720000, 3040000, 2880000, 2590000];['Lo Celso', 'Modric', 'Koke', 'Casemiro', 'Rochina', 'Joaquín'];2307.0;59340000
26;[193.0, 109.0, 95.0, 66.0];[6390000, 1280000, 850000, 150000];['Jesús Navas', 'Coke', 'De Marcos', 'Francis'];[428.0, 179.0, 155.0];[22790000, 3990000, 1890000];['Messi', 'Dembélé', 'Roger'];[150.0];[2810000];['Masip'];[162.0, 153.0, 176.0, 117.0, 175.0, 104.0];[4120000, 3800000, 3210000, 2810000, 2590000, 990000];['Muniain', 'Orellana', 'Alcaraz', 'Banega', 'Joaquín', 'Lucas Vázquez'];2262.0;57670000
27;[178.0, 174.0, 90.0, 89.0];[5620000, 2440000, 1340000, 730000];['Hermoso', 'Rubén Peña', 'Vezo', 'Piccini'];[244.0, 239.0, 179.0];[11150000, 9660000, 4670000];['Griezmann', 'Borja Iglesias', 'Ezequiel Ávila'];[196.0];[6480000];['Oblak'];[154.0, 156.0, 148.0, 133.0, 109.0, 149.0];[3420000, 2790000, 2320000, 1660000, 1130000, 380000];['Saúl', 'Tello', 'Óscar Rodríguez', 'Escalante', 'Toni Villa', 'Moi Gómez'];2238.0;53790000
28;[193.0, 169.0, 153.0, 143.0];[6390000, 4540000, 2690000, 1990000];['Jesús Navas', 'Gayà', 'Cabrera', 'Miramón'];[209.0, 244.0, 99.0];[7540000, 6560000, 1180000];['Williams', 'Jorge Molina', 'Mayoral'];[173.0];[3610000];['Pacheco'];[215.0, 214.0, 138.0, 149.0, 152.0, 66.0];[6860000, 6630000, 3590000, 3440000, 2650000, 150000];['Cazorla', 'Canales', 'Kroos', 'Busquets', 'Thomas', 'Piatti'];2317.0;57820000
29;[178.0, 169.0, 123.0, 55.0];[5620000, 4540000, 3210000, 150000];['Hermoso', 'Gayà', 'Sergi Roberto', 'Roncaglia'];[246.0, 172.0, 185.0];[8320000, 3210000, 2500000];['Ben Yedder', 'Ángel Rodríguez', 'Charles'];[150.0];[2810000];['Masip'];[255.0, 214.0, 162.0, 176.0, 148.0, 80.0];[11420000, 6630000, 4120000, 3210000, 2320000, 1270000];['Parejo', 'Canales', 'Muniain', 'Alcaraz', 'Óscar Rodríguez', 'Trigueros'];2313.0;59330000
30;[154.0, 112.0, 111.0, 79.0];[3130000, 1300000, 690000, 500000];['Hugo Mallo', 'Zaldua', 'Mario Gaspar', 'Martín Aguirregabiria'];[428.0, 82.0, 114.0];[22790000, 1560000, 1010000];['Messi', 'Sergi Guardiola', 'Correa'];[178.0];[3580000];['David Soria'];[255.0, 201.0, 194.0, 131.0, 72.0, 66.0];[11420000, 4620000, 4200000, 1850000, 180000, 150000];['Parejo', 'Jordan', 'Campaña', 'Ibai Gómez', 'Brasanac', 'Piatti'];2177.0;56980000
31;[133.0, 118.0, 103.0, 68.0];[3220000, 3150000, 1830000, 150000];['Iñigo Martínez', 'Junior Firpo', 'Nelson Semedo', 'Postigo'];[244.0, 185.0, 140.0];[11150000, 2500000, 1190000];['Griezmann', 'Charles', 'Óscar Plano'];[196.0];[6480000];['Oblak'];[255.0, 215.0, 178.0, 154.0, 149.0, 52.0];[11420000, 6860000, 4790000, 3420000, 380000, 150000];['Parejo', 'Cazorla', 'Raúl García', 'Saúl', 'Moi Gómez', 'Córdoba'];2190.0;56690000
32;[200.0, 166.0, 104.0, 68.0];[6880000, 3040000, 290000, 150000];['Jordi Alba', 'Calero', 'Arbilla', 'Postigo'];[210.0, 244.0, 99.0];[8310000, 6560000, 1180000];['Oyarzabal', 'Jorge Molina', 'Mayoral'];[178.0];[3580000];['David Soria'];[215.0, 201.0, 138.0, 173.0, 148.0, 125.0];[6860000, 4620000, 3590000, 3570000, 2320000, 1570000];['Cazorla', 'Jordan', 'Kroos', 'Marc Roca', 'Óscar Rodríguez', 'Tomás Pina'];2269.0;52520000
33;[227.0, 79.0, 124.0, 141.0];[8360000, 3250000, 1850000, 1450000];['Piqué', 'Marcelo', 'Bernardo', 'Araujo'];[263.0, 188.0, 157.0];[10710000, 7850000, 3440000];['Benzema', 'Rodrigo', 'Gerard Moreno'];[178.0];[3580000];['David Soria'];[195.0, 166.0, 93.0, 175.0, 148.0, 113.0];[5530000, 4720000, 3050000, 2590000, 2320000, 1270000];['Rakitic', 'Koke', 'Kondogbia', 'Joaquín', 'Óscar Rodríguez', 'Guardado'];2247.0;59970000
34;[179.0, 154.0, 87.0, 104.0];[3200000, 3130000, 390000, 290000];['Cote', 'Hugo Mallo', 'Ramis', 'Arbilla'];[262.0, 210.0, 179.0];[11740000, 8310000, 4670000];['Luis Suárez', 'Oyarzabal', 'Ezequiel Ávila'];[196.0];[6480000];['Oblak'];[255.0, 173.0, 150.0, 104.0, 109.0, 54.0];[11420000, 3570000, 3090000, 990000, 750000, 390000];['Parejo', 'Marc Roca', 'Bardhi', 'Lucas Vázquez', 'Cheryshev', 'Fede Valverde'];2216.0;58420000
35;[153.0, 166.0, 87.0, 104.0];[2690000, 2240000, 390000, 290000];['Cabrera', 'Nacho Martínez', 'Ramis', 'Arbilla'];[428.0, 155.0, 126.0];[22790000, 1890000, 1840000];['Messi', 'Roger', 'Bale'];[106.0];[2220000];['Dmitrovic'];[214.0, 166.0, 201.0, 150.0, 136.0, 84.0];[6630000, 4720000, 4620000, 3230000, 3040000, 1850000];['Canales', 'Koke', 'Jordan', 'Melendo', 'Casemiro', 'Iborra'];2276.0;58440000
36;[169.0, 143.0, 122.0, 81.0];[4540000, 1990000, 1100000, 190000];['Gayà', 'Miramón', 'Ximo Navarro', 'Moyano'];[428.0, 166.0, 114.0];[22790000, 5200000, 1010000];['Messi', 'Portu', 'Correa'];[114.0];[4110000];['Courtois'];[138.0, 154.0, 174.0, 154.0, 151.0, 149.0];[3590000, 3420000, 3360000, 3170000, 1790000, 380000];['Kroos', 'Saúl', 'Vidal', 'Brais Méndez', 'Michel Herrero', 'Moi Gómez'];2257.0;56640000
37;[151.0, 115.0, 153.0, 68.0];[4960000, 3230000, 2690000, 230000];['Sergio Ramos', 'Lenglet', 'Cabrera', 'Raúl Navas'];[262.0, 246.0, 155.0];[11740000, 8320000, 1890000];['Luis Suárez', 'Ben Yedder', 'Roger'];[167.0];[4720000];['Ter Stegen'];[214.0, 166.0, 201.0, 176.0, 108.0, 68.0];[6630000, 4720000, 4620000, 3210000, 950000, 160000];['Canales', 'Koke', 'Jordan', 'Alcaraz', 'Dani García', 'Víctor Sánchez'];2250.0;58070000
38;[133.0, 141.0, 93.0, 73.0];[1840000, 1450000, 450000, 200000];['Funes Mori', 'Araujo', 'David López', 'Víctor Ruiz'];[428.0, 209.0, 126.0];[22790000, 7540000, 1840000];['Messi', 'Williams', 'Bale'];[167.0];[4720000];['Ter Stegen'];[166.0, 153.0, 176.0, 118.0, 155.0, 119.0];[4720000, 3800000, 3210000, 3000000, 2790000, 1140000];['Koke', 'Orellana', 'Alcaraz', 'Lemar', 'Maksimovic', 'Zubeldia'];2257.0;59490000
39;[170.0, 158.0, 166.0, 124.0];[3330000, 2980000, 2240000, 1850000];['Laguardia', 'Siovas', 'Nacho Martínez', 'Bernardo'];[263.0, 246.0, 209.0];[10710000, 8320000, 6440000];['Benzema', 'Ben Yedder', 'Jaime Mata'];[167.0];[4720000];['Ter Stegen'];[195.0, 127.0, 140.0, 154.0, 72.0, 83.0];[5530000, 3430000, 3250000, 3170000, 680000, 210000];['Rakitic', 'Carlos Soler', 'Cucurella', 'Brais Méndez', 'Aleña', 'Vesga'];2274.0;56860000
40;[115.0, 179.0, 100.0, 119.0];[3230000, 3200000, 950000, 900000];['Lenglet', 'Cote', 'Santiago Arias', 'Sergi Gómez'];[239.0, 209.0, 166.0];[9660000, 6440000, 5200000];['Borja Iglesias', 'Jaime Mata', 'Portu'];[167.0];[4720000];['Ter Stegen'];[214.0, 178.0, 194.0, 150.0, 118.0, 56.0];[6630000, 4790000, 4200000, 3090000, 2090000, 150000];['Canales', 'Raúl García', 'Campaña', 'Bardhi', 'Pere Pons', 'Anuar'];2204.0;55250000
41;[158.0, 131.0, 86.0, 126.0];[2980000, 1940000, 1160000, 370000];['Siovas', 'Pedraza', 'Naldo', 'Antunes'];[428.0, 136.0, 140.0];[22790000, 3150000, 1190000];['Messi', 'Gameiro', 'Óscar Plano'];[173.0];[3610000];['Pacheco'];[163.0, 194.0, 127.0, 155.0, 137.0, 123.0];[5930000, 4200000, 3430000, 2790000, 2670000, 1940000];['Modric', 'Campaña', 'Carlos Soler', 'Maksimovic', 'Franco Vázquez', 'Coquelin'];2277.0;58150000
42;[158.0, 89.0, 111.0, 71.0];[2980000, 730000, 690000, 150000];['Siovas', 'Piccini', 'Mario Gaspar', 'Chema'];[262.0, 263.0, 244.0];[11740000, 10710000, 6560000];['Luis Suárez', 'Benzema', 'Jorge Molina'];[196.0];[6480000];['Oblak'];[255.0, 173.0, 125.0, 113.0, 75.0, 82.0];[11420000, 3570000, 2240000, 1270000, 1130000, 170000];['Parejo', 'Marc Roca', 'William Carvalho', 'Guardado', 'Melero', 'San José'];2217.0;59840000
43;[145.0, 174.0, 131.0, 133.0];[3070000, 2440000, 1940000, 1480000];['Djené', 'Rubén Peña', 'Pedraza', 'Maripán'];[428.0, 161.0, 87.0];[22790000, 3100000, 220000];['Messi', 'En-Nesyri', 'Sobrino'];[117.0];[1990000];['Rulli'];[221.0, 173.0, 150.0, 138.0, 104.0, 82.0];[9560000, 3570000, 3230000, 2130000, 990000, 240000];['Morales', 'Marc Roca', 'Melendo', 'Arambarri', 'Lucas Vázquez', 'Medrán'];2244.0;56750000
44;[227.0, 193.0, 135.0, 87.0];[8360000, 6390000, 2900000, 390000];['Piqué', 'Jesús Navas', 'Wass', 'Ramis'];[244.0, 244.0, 114.0];[11150000, 6560000, 1010000];['Griezmann', 'Jorge Molina', 'Correa'];[178.0];[3580000];['David Soria'];[214.0, 195.0, 176.0, 129.0, 87.0, 104.0];[6630000, 5530000, 3210000, 1110000, 330000, 300000];['Canales', 'Rakitic', 'Alcaraz', 'Yokuslu', 'Zurutuza', 'Wakaso'];2327.0;57450000
45;[193.0, 174.0, 158.0, 126.0];[6390000, 2440000, 2340000, 370000];['Jesús Navas', 'Rubén Peña', 'Mandi', 'Antunes'];[262.0, 244.0, 76.0];[11740000, 6560000, 170000];['Luis Suárez', 'Jorge Molina', 'De Blasis'];[178.0];[3580000];['David Soria'];[214.0, 162.0, 173.0, 136.0, 105.0, 104.0];[6630000, 4120000, 3570000, 3040000, 2380000, 990000];['Canales', 'Muniain', 'Marc Roca', 'Casemiro', 'Januzaj', 'Lucas Vázquez'];2305.0;54320000
46;[179.0, 154.0, 166.0, 133.0];[3200000, 3130000, 2240000, 1480000];['Cote', 'Hugo Mallo', 'Nacho Martínez', 'Maripán'];[246.0, 210.0, 188.0];[14610000, 8310000, 7850000];['Iago Aspas', 'Oyarzabal', 'Rodrigo'];[93.0];[1290000];['Rubén Blanco'];[194.0, 171.0, 138.0, 151.0, 127.0, 119.0];[4200000, 3780000, 2130000, 1790000, 1460000, 1140000];['Campaña', 'Darder', 'Arambarri', 'Michel Herrero', 'Rubén Pérez', 'Zubeldia'];2269.0;56610000
47;[123.0, 153.0, 117.0, 126.0];[3210000, 2690000, 1550000, 370000];['Sergi Roberto', 'Cabrera', 'Aritz Elustondo', 'Antunes'];[246.0, 172.0, 185.0];[8320000, 3210000, 2500000];['Ben Yedder', 'Ángel Rodríguez', 'Charles'];[157.0];[2560000];['Asenjo'];[178.0, 166.0, 201.0, 194.0, 174.0, 70.0];[4790000, 4720000, 4620000, 4200000, 3360000, 170000];['Raúl García', 'Koke', 'Jordan', 'Campaña', 'Vidal', 'Cáseres'];2262.0;46270000
48;[169.0, 143.0, 120.0, 71.0];[4540000, 1990000, 1820000, 150000];['Gayà', 'Miramón', 'Yeray', 'Chema'];[428.0, 172.0, 185.0];[22790000, 3110000, 2500000];['Messi', 'Sergi Enrich', 'Charles'];[178.0];[3580000];['David Soria'];[194.0, 171.0, 136.0, 118.0, 151.0, 72.0];[4200000, 3780000, 3040000, 3000000, 1790000, 680000];['Campaña', 'Darder', 'Casemiro', 'Lemar', 'Michel Herrero', 'Aleña'];2308.0;56970000
49;[145.0, 166.0, 143.0, 126.0];[3070000, 2240000, 1990000, 370000];['Djené', 'Nacho Martínez', 'Miramón', 'Antunes'];[263.0, 246.0, 140.0];[10710000, 8320000, 1190000];['Benzema', 'Ben Yedder', 'Óscar Plano'];[196.0];[6480000];['Oblak'];[163.0, 194.0, 149.0, 127.0, 108.0, 69.0];[5930000, 4200000, 3440000, 3430000, 3340000, 550000];['Modric', 'Campaña', 'Busquets', 'Carlos Soler', 'Illarramendi', 'Vitolo'];2235.0;55260000
50;[166.0, 158.0, 100.0, 93.0];[3040000, 2340000, 950000, 450000];['Calero', 'Mandi', 'Santiago Arias', 'David López'];[428.0, 172.0, 126.0];[22790000, 3210000, 1840000];['Messi', 'Ángel Rodríguez', 'Bale'];[94.0];[1290000];['Herrerín'];[214.0, 184.0, 164.0, 138.0, 123.0, 131.0];[6630000, 6330000, 3080000, 2130000, 1940000, 1850000];['Canales', 'Lo Celso', 'Coutinho', 'Arambarri', 'Coquelin', 'Ibai Gómez'];2291.0;57870000
51;[148.0, 99.0, 106.0, 77.0];[2240000, 630000, 390000, 220000];['Yuri', 'Sidnei', 'Dídac Vilà', 'Bruno González'];[428.0, 244.0, 140.0];[22790000, 6560000, 1190000];['Messi', 'Jorge Molina', 'Óscar Plano'];[148.0];[2200000];['Cuéllar'];[215.0, 194.0, 171.0, 154.0, 127.0, 72.0];[6860000, 4200000, 3780000, 3420000, 1460000, 680000];['Cazorla', 'Campaña', 'Darder', 'Saúl', 'Rubén Pérez', 'Aleña'];2323.0;56620000
