;defender_points;defender_values;defenders;forward_points;forward_values;forwards;goalkeeper_points;goalkeeper_values;goalkeepers;midfielder_points;midfielder_values;midfielders;total_points;total_value
219;[166.0, 158.0, 174.0, 87.0];[3040000, 2980000, 2440000, 390000];['Calero', 'Siovas', 'Rubén Peña', 'Ramis'];[246.0, 239.0, 106.0];[14610000, 9660000, 5040000];['Iago Aspas', 'Borja Iglesias', 'Enric Gallego'];[157.0];[2560000];['Asenjo'];[215.0, 194.0, 171.0, 150.0, 104.0, 72.0];[6860000, 4200000, 3780000, 3230000, 300000, 180000];['Cazorla', 'Campaña', 'Darder', 'Melendo', 'Wakaso', 'Brasanac'];2239.0;59270000
220;[154.0, 141.0, 109.0, 68.0];[3130000, 1450000, 1280000, 150000];['Hugo Mallo', 'Araujo', 'Coke', 'Postigo'];[428.0, 244.0, 169.0];[22790000, 11150000, 3520000];['Messi', 'Griezmann', 'Ekambi'];[178.0];[3580000];['David Soria'];[171.0, 154.0, 113.0, 149.0, 64.0, 70.0];[3780000, 3420000, 1270000, 380000, 350000, 170000];['Darder', 'Saúl', 'Guardado', 'Moi Gómez', 'Sergio Álvarez Díaz', 'Cáseres'];2212.0;56420000
221;[179.0, 148.0, 143.0, 141.0];[3200000, 2240000, 1990000, 1450000];['Cote', 'Yuri', 'Miramón', 'Araujo'];[263.0, 195.0, 169.0];[10710000, 6390000, 3520000];['Benzema', 'Maxi Gómez', 'Ekambi'];[173.0];[3610000];['Pacheco'];[214.0, 136.0, 107.0, 175.0, 96.0, 119.0];[6630000, 3040000, 2990000, 2590000, 620000, 610000];['Canales', 'Casemiro', 'Arthur', 'Joaquín', 'Beñat', 'Manu García'];2258.0;49590000
222;[179.0, 158.0, 125.0, 100.0];[3200000, 2980000, 1190000, 950000];['Cote', 'Siovas', 'Carriço', 'Santiago Arias'];[263.0, 188.0, 166.0];[10710000, 7850000, 5200000];['Benzema', 'Rodrigo', 'Portu'];[157.0];[2560000];['Asenjo'];[214.0, 138.0, 201.0, 174.0, 175.0, 108.0];[6630000, 5080000, 4620000, 3360000, 2590000, 950000];['Canales', 'Chukwueze', 'Jordan', 'Vidal', 'Joaquín', 'Dani García'];2346.0;57870000
223;[200.0, 134.0, 79.0, 76.0];[6880000, 2870000, 500000, 330000];['Jordi Alba', 'Gabriel Paulista', 'Martín Aguirregabiria', 'Jaume Costa'];[246.0, 209.0, 172.0];[8320000, 7540000, 3110000];['Ben Yedder', 'Williams', 'Sergi Enrich'];[160.0];[2980000];['Diego López'];[221.0, 194.0, 173.0, 154.0, 123.0, 109.0];[9560000, 4200000, 3570000, 3170000, 1940000, 1130000];['Morales', 'Campaña', 'Marc Roca', 'Brais Méndez', 'Coquelin', 'Toni Villa'];2250.0;56100000
224;[227.0, 178.0, 158.0, 141.0];[8360000, 5620000, 2980000, 1450000];['Piqué', 'Hermoso', 'Siovas', 'Araujo'];[428.0, 179.0, 172.0];[22790000, 3990000, 3210000];['Messi', 'Dembélé', 'Ángel Rodríguez'];[117.0];[1990000];['Rulli'];[164.0, 156.0, 131.0, 96.0, 82.0, 56.0];[3080000, 2790000, 1850000, 620000, 170000, 150000];['Coutinho', 'Tello', 'Ibai Gómez', 'Beñat', 'San José', 'Anuar'];2285.0;59050000
225;[136.0, 99.0, 111.0, 73.0];[1670000, 770000, 690000, 200000];['Kiko Olivas', 'Héctor Moreno', 'Mario Gaspar', 'Víctor Ruiz'];[262.0, 239.0, 244.0];[11740000, 9660000, 6560000];['Luis Suárez', 'Borja Iglesias', 'Jorge Molina'];[196.0];[6480000];['Oblak'];[214.0, 184.0, 156.0, 138.0, 133.0, 68.0];[6630000, 6330000, 2790000, 2130000, 1660000, 160000];['Canales', 'Lo Celso', 'Tello', 'Arambarri', 'Escalante', 'Víctor Sánchez'];2253.0;57470000
226;[152.0, 143.0, 113.0, 95.0];[2550000, 1990000, 920000, 850000];['Damián Suárez', 'Miramón', 'Jason', 'De Marcos'];[428.0, 185.0, 126.0];[22790000, 2500000, 1840000];['Messi', 'Charles', 'Bale'];[106.0];[2220000];['Dmitrovic'];[215.0, 166.0, 194.0, 173.0, 150.0, 66.0];[6860000, 4720000, 4200000, 3570000, 3090000, 150000];['Cazorla', 'Koke', 'Campaña', 'Marc Roca', 'Bardhi', 'Piatti'];2312.0;58250000
227;[127.0, 124.0, 113.0, 81.0];[4020000, 1850000, 920000, 250000];['Carvajal', 'Bernardo', 'Jason', 'Diakhaby'];[428.0, 179.0, 169.0];[22790000, 4670000, 3520000];['Messi', 'Ezequiel Ávila', 'Ekambi'];[167.0];[4720000];['Ter Stegen'];[215.0, 149.0, 155.0, 151.0, 83.0, 82.0];[6860000, 3440000, 2790000, 1790000, 210000, 170000];['Cazorla', 'Busquets', 'Maksimovic', 'Michel Herrero', 'Vesga', 'San José'];2223.0;58000000
228;[200.0, 170.0, 179.0, 113.0];[6880000, 3330000, 3200000, 920000];['Jordi Alba', 'Laguardia', 'Cote', 'Jason'];[246.0, 209.0, 140.0];[8320000, 7540000, 1190000];['Ben Yedder', 'Williams', 'Óscar Plano'];[114.0];[4110000];['Courtois'];[166.0, 176.0, 150.0, 137.0, 148.0, 101.0];[4720000, 3210000, 3090000, 2670000, 2320000, 580000];['Koke', 'Alcaraz', 'Bardhi', 'Franco Vázquez', 'Óscar Rodríguez', 'Portillo'];2249.0;52080000
