,name,points,value,purchase_info,increments,players,team_value
0,FC Datalona,0,"€44,700,000","[6630658, 530810, 5200528, 5655110, 5058060, 1124880, 2787440, 2020880, 756500, 1123456, 700508, 700423, 454321, 12322460, 8500394, 5500759]","[1240658, 60810, 1870528, 2425110, 2688060, 25120, 407440, 310880, 343500, 183456, 90508, 270423, 104321, 2432460, 1370394, 1280759]","['Ter Stegen', 'Neto', 'Sergi Roberto', 'Hugo Mallo', 'Ferland Mendy', 'Raíllo', 'Pere Pons', 'Rubén Pérez', 'Vitolo', 'Lucas Vázquez', 'Roque Mesa', 'Barrenetxea', 'Fede Valverde', 'Borja Iglesias', 'Vinícius', 'Dembélé']",44700000
1,U. B. Conquense,0,"€42,380,000","[1250300, 2910000, 870000, 930000, 880000, 480000, 380000, 1280000, 920000, 500000, 150000, 36790000, 12500000, 4299804, 220000]","[249700, 1440000, 30000, 190000, 270000, 40000, 150000, 560000, 350000, 20000, 0, 13950000, 4290000, 1079804, 0]","['Rubén Blanco', 'Zaldua', 'Rubén Duarte', 'Joan Sastre', 'Javi López', 'Odriozola', 'Mathías Olivera', 'Portillo', 'Camarasa', 'Fran Beltrán', 'Riqui Puig', 'Messi', 'Rodrigo', 'Gameiro', 'Sobrino']",42380000
2,Pastafarianism United,0,"€42,230,000","[6820023, 5970000, 1990009, 1310003, 610022, 260001, 150051, 6920000, 1530002, 319001, 290505, 18620003, 12840006, 6910006]","[2800023, 3380000, 610009, 360003, 250022, 110001, 51, 2650000, 400002, 190999, 19495, 3780003, 5070006, 3110006]","['Cillessen', 'Yuri', 'Alberto Moreno', 'Germán Sánchez', 'Arbilla', 'Rodrigo Ely', 'Francis', 'Campaña', 'Yokuslu', 'Szymanowski', 'Pione Sisto', 'Iago Aspas', 'Williams', 'Gerard Moreno']",42230000
3,Thomas Party,0,"€40,600,000","[6200000, 1300000, 7510000, 7850000, 3400000, 4510000, 3200000, 690000, 440000, 152000, 5350000, 3000000, 220000, 6230000, 7530000, 5970000, 930000]","[2870000, 1120000, 3940000, 4480000, 780000, 2080000, 840000, 60000, 10000, 2000, 1000000, 1320000, 0, 670000, 3100000, 1770000, 20000]","['Vaclík', 'Oier Olazábal', 'Varane', 'Djené', 'Pedraza', 'Felipe Monteiro', 'Renan Lodi', 'Sidnei', 'Aridane Hernández', 'Todibo', 'James Rodríguez', 'Óliver Torres', 'Iturraspe', 'Portu', 'Santi Mina', 'Luuk de Jong', 'Nolito']",40600000
4,Camping Ballena Alegre,0,"€34,060,000","[150100, 5750000, 5560000, 2560000, 660100, 6500005, 7520000, 4500000, 5560000, 2500500, 320100, 550000, 5520005, 5730000, 2690005]","[100, 2710000, 2820000, 1140000, 149900, 2520005, 3630000, 1430000, 2970000, 780500, 99900, 180000, 1760005, 2370000, 49995]","['Sergio Álvarez', 'Siovas', 'Damián Suárez', 'Coke', 'Mario Gaspar', 'Orellana', 'Saúl', 'Banega', 'William Carvalho', 'Granero', 'Kang-in Lee', 'Recio', 'Ekambi', 'Wu Lei', 'Matías Vargas']",34060000
5,Santa Bàrbara,0,"€32,020,000","[1180000, 2614990, 483030, 709500, 150000, 10587310, 9289640, 5089090, 6780880, 883030, 1792440, 4023820, 2826100, 1850000, 280000, 170000, 260360]","[130000, 1454990, 83030, 559500, 0, 2837310, 4179640, 1309090, 3510880, 333030, 1272440, 703820, 796100, 120000, 40000, 10000, 110360]","['Manolo Reina', 'Ximo Navarro', 'David López', 'David Costas', 'José Antonio Martínez', 'Frenkie de Jong', 'Koke', 'Marc Roca', 'Arthur', 'Ferrán Torres', 'Aleña', 'Ángel Rodríguez', 'Sandro', 'Sergi Guardiola', 'Malcom', 'De Blasis', 'Beauvue']",32020000
6,Vetusta FC,0,"€27,070,000","[2099000, 5430000, 3590000, 2670000, 1050000, 930100, 210000, 270001, 170000, 6680000, 3350000, 4150001, 2990000]","[589000, 2290000, 1430000, 700000, 40000, 139900, 30000, 109999, 0, 1150000, 40000, 760001, 100000]","['Herrerín', 'Garay', 'Yeray', 'Diego Llorente', 'Piccini', 'Capa', 'Cabaco', 'Aleix Febas', 'Cáseres', 'Willian José', 'Lucas Pérez', 'Lucas Ocampos', 'Lago Junior']",27070000
7,ValeronBalonDeOro,0,"€20,990,000","[1501000, 4100000, 2749000, 276000, 9103000, 6334000, 2000000, 230000, 6334000, 2640000, 780000, 221000]","[381000, 1110000, 1509000, 4000, 4943000, 3094000, 40000, 50000, 3024000, 1080000, 20000, 71000]","['Rubén', 'Wass', 'Rosales', 'Diakhaby', 'Kroos', 'Bardhi', 'Salva Sevilla', 'Vesga', 'Sergi Enrich', 'Sergio León', 'Quique González', 'Guidetti']",20990000
