,date,fixture
0,2019-08-16 21:00:00,R1
1,2019-08-23 20:00:00,R2
2,2019-08-30 20:00:00,R3
3,2019-09-13 21:00:00,R4
4,2019-09-20 21:00:00,R5
5,2019-09-24 19:00:00,R6
6,2019-09-27 21:00:00,R7
7,2019-10-04 21:00:00,R8
8,2019-10-18 21:00:00,R9
9,2019-10-25 21:00:00,R10
10,2019-10-29 19:00:00,R11
11,2019-11-02 13:00:00,R12
12,2019-11-08 21:00:00,R13
13,2019-11-22 21:00:00,R14
14,2019-11-29 21:00:00,R15
15,2019-12-06 21:00:00,R16
16,2019-12-13 21:00:00,R17
17,2019-12-20 21:00:00,R18
